-131.7,758.765,-12.1109
0.966757,-0.254448,-0.0252452
0.255263,0.966151,0.0373349
0.0148908,-0.042538,0.998984
146,12.3028,56.6086,0.947596
147,1.38475,15.6851,-1.02796
148,3.83504,15.861,-0.977896
149,2.18456,15.6754,0.892117
150,3.01491,15.8738,0.63202
152,3.00498,15.8325,-0.867946
155,5.32656,46.7177,-1.95447
156,12.8187,47.9854,-1.77489
160,0.264988,3.7862,-1.82777
161,5.76985,48.7479,-0.88619
162,3.04486,15.7828,-0.487899
163,0.529202,6.31579,-1.79993
164,1.60455,9.51386,-1.9626
166,3.89494,15.8416,-0.207873
167,1.55863,11.964,-1.89473
168,2.78304,14.6119,-1.91691
169,6.14458,51.6483,0.251334
170,3.08501,15.893,-0.107991
171,2.21464,15.5831,-1.7078
172,3.85481,15.6905,-1.52775
173,9.0978,53.6342,1.19988
174,3.88487,15.8219,0.162143
175,2.22472,15.6636,-1.11787
176,3.03475,15.672,-1.3178
177,1.4647,15.7362,0.431999
178,3.05478,15.7734,0.25211
179,1.45473,15.6749,-1.02795
180,3.88501,15.8409,-0.977874
181,2.23464,15.7253,0.902078
182,3.08496,15.9037,0.632
183,7.79613,46.4434,-2.22401
184,3.075,15.8424,-0.867948
187,5.49659,46.7374,-1.95447
188,13.572,49.9541,-1.84653
191,2.24484,15.7742,-0.387964
192,0.284954,3.76618,-1.81775
193,5.91976,48.6977,-0.886133
194,3.1149,15.8026,-0.48791
195,0.559202,6.31574,-1.79993
196,1.63453,9.50382,-1.95259
197,2.30482,15.7844,-0.0179673
198,3.94492,15.8315,-0.21786
199,1.59861,11.9539,-1.89472
200,2.83303,14.6019,-1.9169
201,1.5249,15.8358,0.0619178
202,3.12501,15.8929,-0.107987
203,2.26464,15.583,-1.7178
204,3.90482,15.7004,-1.52775
205,9.54021,55.0835,1.23867
206,3.93484,15.8018,0.162165
207,2.27474,15.6735,-1.11787
208,3.08477,15.682,-1.31781
209,1.50467,15.7161,0.43202
210,3.11485,15.8133,0.252081
211,1.50473,15.6749,-1.02795
212,3.93499,15.8308,-0.977861
213,10.3373,59.4641,3.45495
214,3.13493,15.8836,0.632022
215,7.53232,44.1639,-2.12206
216,3.12501,15.8523,-0.867952
218,16.8216,74.2056,6.14277
219,5.66678,46.8472,-1.95455
220,13.2994,48.4146,-1.79522
223,8.55154,49.743,-1.2068
224,0.294936,3.75617,-1.80774
225,6.04936,48.4575,-0.885913
226,11.1709,49.3284,-1.5062
227,0.579185,6.30571,-1.79992
228,1.66451,9.49377,-1.95258
230,4.01495,15.8514,-0.217871
231,1.63861,11.9539,-1.89471
232,2.88303,14.6018,-1.91689
233,1.58492,15.8457,0.0619147
234,12.2785,53.9775,-0.360129
235,2.32464,15.5829,-1.71779
236,3.96482,15.7003,-1.52775
237,9.77053,55.2731,1.23852
238,16.245,57.9318,0.636807
239,2.33472,15.6634,-1.11786
240,3.1448,15.7019,-1.31782
241,1.56468,15.726,0.432017
242,12.9229,56.6776,0.947592
243,1.56475,15.6848,-1.02795
244,4.00496,15.8107,-0.977837
245,10.8197,60.8734,3.53377
246,3.19495,15.8935,0.632019
247,8.16663,46.7427,-2.24424
248,3.18501,15.8522,-0.867947
251,5.82661,46.7469,-1.95445
252,13.0871,47.065,-1.74407
255,2.35482,15.764,-0.387945
256,0.314936,3.75614,-1.80774
257,6.20904,48.2672,-0.885734
258,11.7235,50.8874,-1.5575
259,0.609185,6.30566,-1.79992
260,1.70451,9.4937,-1.96258
261,9.2645,51.5828,-0.0483281
262,4.06492,15.8313,-0.207849
263,1.68861,11.9538,-1.89471
264,2.94303,14.6017,-1.91689
265,1.6349,15.8356,0.0619279
266,12.4987,54.0872,-0.360204
267,2.36464,15.5828,-1.71779
268,4.02481,15.6902,-1.53773
269,9.93015,55.0428,1.23874
270,16.4449,57.8415,0.636903
271,2.39472,15.6633,-1.11785
272,3.20477,15.6818,-1.3278
273,1.61473,15.7559,0.431995
274,3.22481,15.7931,0.252108
275,1.61475,15.6847,-1.02794
276,4.06497,15.8206,-0.97784
277,11.1002,61.2129,3.5635
